name,type,sub_type,bottle_size,cost,abv,brand,distributor,pack_size,pack_cost
Nicolas Catena Zapata,Wine,Other,750,42.86,12,Nicolas Catena Zapata,Breakthru Beverage,12,514.28
WYCLIFF BRUT CALIFORNIA CHAMPAGNE,Wine,Sparkling,750,4.90,12,WYCLIFF BRUT CALIFORNIA,Breakthru Beverage,1,
Rombauer Carneros Chardonnay,Wine,White,750,29.50,12,Rombauer,Breakthru Beverage,12,354.00
Old Forester Classic 86 Proof,Spirit,Whiskey,750,17.00,43,Old Forester,Breakthru Beverage,1,
WOODFORD RESERVE KENTUCKY STRAIGHT BOURBON WHISKEY,Spirit,Whiskey,1000,37.00,40,Woodford Reserve,Breakthru Beverage,6,222.02
WOODFORD RESERVE KENTUCKY STRAIGHT BOURBON WHISKEY,Spirit,Whiskey,750,37.00,40,Woodford Reserve,Breakthru Beverage,1,
E&J BRANDY VS,Spirit,Brandy,750,10.00,40,E&J,Breakthru Beverage,1,
JACK DANIELS OLD #7 TENNESSEE WHISKEY,Spirit,Whiskey,750,22.99,40,JACK DANIELS,Breakthru Beverage,1,
Jack Daniel's Old No. 7 Tennessee Whiskey,Spirit,Whiskey,750,22.99,40,Jack Daniel's,Breakthru Beverage,1,
Llord's Creme De Cacao White,Spirit,Liqueur,750,7.00,40,Llord's,Breakthru Beverage,1,
Llord's Creme De Cacao Dark,Spirit,Liqueur,750,7.00,40,Llord's,Breakthru Beverage,1,
L'Ecole No. 41 Walla Walla Valley Cabernet Sauvignon,Wine,Red,750,34.25,12,L'Ecole No. 41,Breakthru Beverage,12,411.00
Don Julio 1942,Spirit,Tequila,750,124.99,40,Don Julio,Breakthru Beverage,1,
Captain Morgan Original Spiced Rum,Spirit,Rum,750,19.50,40,Captain Morgan,Breakthru Beverage,1,
Baileys Original Irish Cream,Spirit,Liqueur,750,31.49,40,Baileys,Breakthru Beverage,1,
Lagavulin 16 Year Old,Spirit,Whiskey,750,74.06,40,Lagavulin,Breakthru Beverage,1,
LAGAVULIN SCOTCH SINGLE MALT 16YR 750ML,Spirit,Whiskey,750,76.01,40,Lagavulin,Breakthru Beverage,1,
Oban 14 Year Single Malt,Spirit,Whiskey,750,89.62,40,Oban,Breakthru Beverage,1,
Johnnie Walker Black Label,Spirit,Whiskey,750,40.49,40,Johnnie Walker,Breakthru Beverage,1,
TANQUERAY LONDON DRY GIN,Spirit,Gin,750,25.00,40,Tanqueray,Breakthru Beverage,1,
Pimm's No. 1 Liqueur,Spirit,Liqueur,750,26.99,40,Pimm's,Breakthru Beverage,1,
Bushmills Original Irish Whiskey,Spirit,Whiskey,750,25.18,40,Bushmills,Breakthru Beverage,1,
BULLEIT BOURBON,Spirit,Whiskey,750,29.99,40,Bulleit,Breakthru Beverage,1,
Hendrick's Gin,Spirit,Gin,750,27.99,40,Hendrick's,Breakthru Beverage,1,
HENNESSY VS COGNAC,Spirit,Cognac,750,52.30,40,Hennessy,Breakthru Beverage,1,
Hennessy VSOP Privilege,Spirit,Cognac,750,82.99,40,Hennessy,Breakthru Beverage,1,
Hennessy X.O Cognac,Spirit,Cognac,750,199.99,40,Hennessy,Breakthru Beverage,1,
KETEL ONE,Spirit,Vodka,750,23.99,40,Ketel One,Breakthru Beverage,1,
RED BULL SUGARFREE,Non-Alc,Mixer,250,1.70,,Red Bull,Breakthru Beverage,24,40.75
RED BULL,Non-Alc,Mixer,250,1.70,,Red Bull,Breakthru Beverage,24,40.75
Ruinart Bl De Bl,Wine,Sparkling,750,35.49,12,Ruinart,Breakthru Beverage,12,425.88
Crown Royal Canadian Whisky,Spirit,Whiskey,750,32.75,40,Crown Royal,Breakthru Beverage,1,
TITOS HANDMADE VODKA,Spirit,Vodka,750,19.99,40,TITOS HANDMADE,Breakthru Beverage,12,239.93
Banfi Tuscany Chianti Classico Riserva,Wine,Red,750,168.05,12,Banfi,Breakthru Beverage,1,168.05
Conti Sertoli Salis Canua Sforzato di Valtellina,Wine,Red,750,49.99,12,Conti Sertoli Salis,Breakthru Beverage,6,299.96
PETER VELLA BURGUNDY,Wine,Red,750,16.50,12,PETER VELLA BURGUNDY,Breakthru Beverage,4,66.01
PETER VELLA CHABLIS,Wine,White,750,16.50,12,PETER VELLA CHABLIS,Breakthru Beverage,4,66.01
Michter's US*1 Small Batch Kentucky Straight Bourbon Whiskey,Spirit,Whiskey,750,33.50,40,Michter's,Breakthru Beverage,1,
Michter's 10 Year Single Barrel Rye Whiskey,Spirit,Whiskey,750,155.56,40,Michter's,Breakthru Beverage,1,
Michter's 10 Year Single Barrel Kentucky Straight Bourbon,Spirit,Whiskey,750,155.56,40,Michter's,Breakthru Beverage,1,
TAYLOR MARSALA,Wine,Fortified,750,5.50,12,TAYLOR MARSALA,Breakthru Beverage,1,
TAYLOR PORT,Wine,Fortified,750,5.50,12,TAYLOR PORT,Breakthru Beverage,1,
GUINNESS DRAUGHT 14.9OZ CAN,Beer,Stout,441,37.15,5,Guinness,Breakthru Beverage,1,37.15
GUINNESS DRAUGHT 11.2OZ BOTLE,Beer,Stout,331,32.20,5,Guinness,Breakthru Beverage,1,32.20
Clos Dady Sauternes 375ml,Wine,Other,375,22.50,12,Clos Dady Sauternes,Breakthru Beverage,12,270.00
Remy Martin XO,Spirit,Cognac,750,153.70,40,Remy Martin,Breakthru Beverage,1,
COINTREAU ORANGE LIQUER TRIPLE SEC,Spirit,Liqueur,750,27.50,40,Triple Sec,Breakthru Beverage,1,
Louis XIII by Remy Martin,Spirit,Cognac,750,9074.07,40,Remy Martin,Breakthru Beverage,1,
Nolet's Silver Gin,Spirit,Gin,750,31.99,40,Nolet's,Breakthru Beverage,1,
Ron Zacapa 23,Spirit,Rum,750,46.99,40,Ron Zacapa,Breakthru Beverage,1,
Jose Cuervo Tradicional Blanco,Spirit,Tequila,750,19.50,40,Jose Cuervo,Breakthru Beverage,12,234.00
Stranahan's Original Single Malt Whiskey,Spirit,Whiskey,750,41.00,40,Stranahan,Breakthru Beverage,1,
BULLEIT 95 RYE,Spirit,Whiskey,750,29.99,40,Bulleit,Breakthru Beverage,1,
DON JULIO 70 CRISTALINO,Spirit,Tequila,750,51.99,40,Don Julio,Breakthru Beverage,1,
New Amsterdam Original Vodka,Spirit,Vodka,750,9.50,40,New Amsterdam,Breakthru Beverage,12,114.05
AVERY WHITE RASCAL WHEAT ALE,Beer,Wheat,Half Barrel,131.00,5,Avery,Breakthru Beverage,1,
Guinness Draught 20L Keg,Beer,Stout,20000,77.55,5,Guinness,Breakthru Beverage,1,
Ska Brewing Modus Hoperandi,Beer,IPA,355,1.42,5,Ska Brewing,Breakthru Beverage,24,34.00
CASAMIGOS BLANCO,Spirit,Tequila,750,47.50,40,Casamigos,Breakthru Beverage,1,
CASAMIGOS REPOSADO,Spirit,Tequila,750,53.00,40,Casamigos,Breakthru Beverage,1,
Pieropan Soave Classico,Wine,White,750,78.02,12,Pieropan,Breakthru Beverage,1,78.02
ODELL 90 SHILLING ALE,Beer,Ale,355,1.32,5,Odell,Breakthru Beverage,24,31.58
ODELL IPA,Beer,IPA,355,1.32,5,Odell,Breakthru Beverage,24,31.58
BOULEVARD IRISH RED ALE,Beer,Ale,355,32.95,5,Boulevard,Breakthru Beverage,1,32.95
Left Hand Milk Stout,Beer,Stout,355,1.50,5,Left Hand Milk,Breakthru Beverage,24,36.00
Rombauer Sauvignon Blanc,Wine,White,750,16.25,12,Rombauer,Breakthru Beverage,12,195.05
Orin Swift Cellars Mercury Head Cabernet Sauvignon Napa Valley,Wine,Red,750,129.00,12,Orin Swift Cellars,Breakthru Beverage,6,774.00
Orin Swift Papillon Red Napa Valley,Wine,Red,750,60.00,12,Orin Swift Papillon,Breakthru Beverage,6,360.02
Stem Ciders Real Dry,Beer,Other,355,1.87,5,Stem Ciders,Breakthru Beverage,24,44.94
WOODFORD RESERVE KENTUCKY STRAIGHT RYE WHISKEY,Spirit,Whiskey,750,38.00,40,Woodford Reserve,Breakthru Beverage,1,
Left Hand Milk Stout NITRO,Beer,Stout,355,1.44,5,Left Hand Milk,Breakthru Beverage,24,34.50
Disaronno Originale,Spirit,Liqueur,750,34.00,40,Disaronno,Breakthru Beverage,1,
Volcan De Mi Tierra Blanco,Spirit,Tequila,750,37.49,40,Volcan De Mi Tierra,Breakthru Beverage,1,
Whitehaven Marlborough Sauvignon Blanc,Wine,White,750,13.00,12,Whitehaven Marlborough,Breakthru Beverage,12,156.00
PROVERB CHARDONNAY CALIFORNIA,Wine,White,750,5.75,12,PROVERB,Breakthru Beverage,1,
PROVERB PINOT GRIGIO CALIFORNIA,Wine,White,750,5.75,12,PROVERB,Breakthru Beverage,1,
PROVERB CABERNET SAUVIGNON CALIFORNIA,Wine,Red,750,5.75,12,PROVERB,Breakthru Beverage,1,
PROVERB PINOT NOIR CALIFORNIA,Wine,Red,750,5.75,12,PROVERB,Breakthru Beverage,1,
PROVERB SAUVIGNON BLANC,Wine,White,750,5.75,12,PROVERB,Breakthru Beverage,1,
LAWS BRBN 4 GRAIN,Spirit,Whiskey,750,39.93,40,LAWS BRBN,Breakthru Beverage,1,
LAWS WHSKY BONDED WHEAT,Spirit,Whiskey,750,64.95,40,LAWS WHSKY BONDED,Breakthru Beverage,1,
STEM CIDERS HIBISCUS SESSION APPLE CIDER,Beer,Other,355,1.87,5,Stem Ciders,Breakthru Beverage,24,44.94
PROVERB ROSE CALIFORNIA,Wine,Rosé,750,69.05,12,PROVERB,Breakthru Beverage,1,69.05
LA MARCA PROSECCO DOC COLLEZIONE,Wine,Sparkling,750,132.05,12,La Marca,Breakthru Beverage,1,132.05
Boen Pinot Noir Tri County,Wine,Red,750,12.00,12,Boen,Breakthru Beverage,12,144.00
MR. BLACK COFFEE LIQUER,Spirit,Liqueur,750,20.49,40,Mr. Black,Breakthru Beverage,1,
Bruichladdich Port Charlotte PC10,Spirit,Whiskey,750,45.00,40,Bruichladdich,Breakthru Beverage,1,
Orin Swift 8 Years In The Desert,Wine,Red,750,28.00,12,Orin Swift,Breakthru Beverage,12,336.05
ODELL SIPPIN PRETTY,Beer,Sour,355,1.50,5,Odell,Breakthru Beverage,24,36.00
Horse Soldier Straight Bourbon,Spirit,Whiskey,750,31.00,40,Horse Soldier Straight,Breakthru Beverage,1,
Poggio al Tesoro Il Seggio Bolgheri,Wine,Red,750,28.00,12,Poggio Al Tesoro,Breakthru Beverage,6,168.00
SKA BREWING THE HAZY IPA,Beer,IPA,355,1.42,5,Ska Brewing,Breakthru Beverage,24,34.00
Banfi Tuscany Fonte alla Selva Gran Selezione Chianti Classico DOCG,Wine,Red,750,25.00,12,Banfi,Breakthru Beverage,6,150.00
HIGH NOON HARD SELTZER VARIETY PACK,Beer,Other,355,2.20,5,High Noon,Breakthru Beverage,24,52.78
Don Julio Blanco,Spirit,Tequila,750,41.00,40,Don Julio,Breakthru Beverage,1,
Don Julio Reposado,Spirit,Tequila,750,48.00,40,Don Julio,Breakthru Beverage,1,
Don Julio Anejo,Spirit,Tequila,750,55.00,40,Don Julio,Breakthru Beverage,1,
Don Fulano Blanco,Spirit,Tequila,750,41.00,40,Don Fulano,Breakthru Beverage,1,
